,lon,-90.7964
0101110011,lon,-118.2
01011101,lon,-119.25
010111010,lat,55.2
0101110100,lon,-121.417
0101110101,lon,-120.75
010111011,lat,55.49
0101110110,lon,-117.82
0101110111,lon,-117.81
0101111,lat,52.55
01011110,lon,-114.1
010111100,lat,51.183
0101111000,lon,-115.05
0101111001,lon,-114.93
010111101,lat,51.76
0101111010,lon,-113.3
0101111011,lon,-113.52
01011111,lon,-114.1
010111110,lat,54.15
0101111100,lon,-114.72
0101111101,lon,-115.28
010111111,lat,53.57
0101111110,lon,-113.52
0101111111,lon,-113.35
011,lat,45.8167
0110,lon,-99.4894
01100,lat,43.8564
011000,lon,-106.4136
0110000,lat,42.7333
01100000,lon,-111.1167
011000000,lat,41.9
0110000000,lon,-111.8167
0110000001,lon,-111.81
011000001,lat,42.1953
0110000010,lon,-109.2394
0110000011,lon,-109.6903
01100001,lon,-110.05
011000010,lat,43.4
0110000100,lon,-110.9667
0110000101,lon,-111.1667
011000011,lat,43.2372
0110000110,lon,-108.7406
0110000111,lon,-108.6942
0110001,lat,42.6667
01100010,lon,-103.5189
011000100,lat,41.9481
0110001000,lon,-104.4936
0110001001,lon,-104.9658
011000101,lat,42.0572
0110001010,lon,-101.75
0110001011,lon,-101.2833
01100011,lon,-103.2683
011000110,lat,43.35
0110001100,lon,-104.6036
0110001101,lon,-104.3333
011000111,lat,43.1803
0110001110,lon,-102.2036
0110001111,lon,-101.5147
011001,lon,-106.9694
0110010,lat,44.8503
01100100,lon,-109.55
011001000,lat,44.4167
0110010000,lon,-110.8333
0110010001,lon,-111.1006
011001001,lat,44.4908
0110010010,lon,-108.0411
0110010011,lon,-108.7592
01100101,lon,-110.2167
011001010,lat,45.3333
0110010100,lon,-111.35
0110010101,lon,-111.1608
011001011,lat,45.2436
0110010110,lon,-109.35
0110010111,lon,-108.5706
0110011,lat,44.6667
01100110,lon,-103.4819
011001100,lat,44.3533
0110011000,lon,-105.1175
0110011001,lon,-104.7167
011001101,lat,44.0839
0110011010,lon,-101.8606
0110011011,lon,-101.7406
01100111,lon,-103.5464
011001110,lat,45.0983
0110011100,lon,-105.0833
0110011101,lon,-105.8167
011001111,lat,45.2667
0110011110,lon,-102.0192
0110011111,lon,-102.2
01101,lat,43.4333
011010,lon,-94.9761
0110100,lat,42.5
01101000,lon,-96.9575
011010000,lat,41.9564
0110100000,lon,-98.5331
0110100001,lon,-98.0275
011010001,lat,41.9644
0110100010,lon,-96.1778
0110100011,lon,-96.1258
01101001,lon,-97.2567
011010010,lat,42.9131
0110100100,lon,-98.0772
0110100101,lon,-98.3486
011010011,lat,43.0431
0110100110,lon,-96.1458
0110100111,lon,-96.1525
0110101,lat,42.4733
01101010,lon,-93.0989
011010100,lat,41.9922
0110101000,lon,-94.0167
0110101001,lon,-94.05
011010101,lat,42.0
0110101010,lon,-92.2764
0110101011,lon,-92.5806
01101011,lon,-92.8106
011010110,lat,42.95
0110101100,lon,-94.2203
0110101101,lon,-94.2167
011010111,lat,42.8125
0110101110,lon,-92.2575
0110101111,lon,-91.8158
011011,lon,-94.9167
0110110,lat,44.5178
01101100,lon,-97.1853
011011000,lat,43.9708
0110110000,lon,-98.7131
0110110001,lon,-98.5706
011011001,lat,44.0
0110110010,lon,-95.8833
0110110011,lon,-96.5319
01101101,lon,-97.0625
011011010,lat,45.1539
0110110100,lon,-98.5333
0110110101,lon,-98.4142
011011011,lat,45.2203
0110110110,lon,-96.1661
0110110111,lon,-96.5042
0110111,lat,44.6981
01101110,lon,-92.9133
011011100,lat,44.0
0110111000,lon,-94.0
0110111001,lon,-93.9025
011011101,lat,43.9042
0110111010,lon,-91.5028
0110111011,lon,-91.6719
01101111,lon,-93.03
011011110,lat,45.0
0110111100,lon,-93.6275
0110111101,lon,-94.0
011011111,lat,45.2236
0110111110,lon,-91.9167
0110111111,lon,-92.4667
0111,lon,-102.83
01110,lat,49.2
011100,lon,-108.3133
0111000,lat,47.2972
01110000,lon,-110.55
011100000,lat,46.5833
0111000000,lon,-111.4833
0111000001,lon,-111.71
011100001,lat,46.5333
0111000010,lon,-109.8311
0111000011,lon,-109.5
01110001,lon,-110.3022
011100010,lat,48.2833
0111000100,lon,-111.3822
0111000101,lon,-111.2167
011100011,lat,48.3042
0111000110,lon,-109.4333
0111000111,lon,-109.6667
0111001,lat,47.4819
01110010,lon,-105.3022
011100100,lat,46.5833
0111001000,lon,-107.1375
0111001001,lon,-106.7667
011100101,lat,46.6833
0111001010,lon,-104.5461
0111001011,lon,-104.3089
01110011,lon,-105.3686
011100110,lat,48.3478
0111001100,lon,-106.7
0111001101,lon,-106.8833
011100111,lat,48.2833
0111001110,lon,-104.0
0111001111,lon,-104.25
011101,lon,-107.4
0111010,lat,52.07
01110100,lon,-109.517
011101000,lat,50.58
0111010000,lon,-111.15
0111010001,lon,-110.75
011101001,lat,50.33
0111010010,lon,-108.42
0111010011,lon,-108.23
01110101,lon,-110.33
011101010,lat,53.52
0111010100,lon,-111.65
0111010101,lon,-111.25
011101011,lat,53.3
0111010110,lon,-108.95
0111010111,lon,-109.15
0111011,lat,51.25
01110110,lon,-104.67
011101100,lat,50.43
0111011000,lon,-106.18
0111011001,lon,-106.55
011101101,lat,50.43
0111011010,lon,-103.92
0111011011,lon,-103.9
01110111,lon,-105.15
011101110,lat,52.15
0111011100,lon,-106.58
0111011101,lon,-106.02
011101111,lat,52.65
0111011110,lon,-104.23
0111011111,lon,-104.33
01111,lat,48.2725
011110,lon,-97.1919
0111100,lat,46.9075
01111000,lon,-100.2875
011110000,lat,46.3931
0111100000,lon,-102.0833
0111100001,lon,-101.65
011110001,lat,46.3833
0111100010,lon,-98.7661
0111100011,lon,-99.1383
01111001,lon,-100.0
011110010,lat,47.5214
0111100100,lon,-101.1461
0111100101,lon,-101.2922
011110011,lat,47.4494
0111100110,lon,-98.0833
0111100111,lon,-98.8681
0111101,lat,46.8833
01111010,lon,-93.5014
011110100,lat,46.3197
0111101000,lon,-95.8333
0111101001,lon,-95.38
011110101,lat,46.4203
0111101010,lon,-92.25
0111101011,lon,-92.2097
01111011,lon,-94.5175
011110110,lat,47.5369
0111101100,lon,-96.5161
0111101101,lon,-96.6028
011110111,lat,47.3919
0111101110,lon,-93.4975
0111101111,lon,-92.6
011111,lon,-98.7
0111110,lat,49.93
01111100,lon,-100.4
011111000,lat,48.8217
0111110000,lon,-102.0975
0111110001,lon,-101.45
011111001,lat,49.18
0111110010,lon,-99.8069
0111110011,lon,-99.633
01111101,lon,-101.27
011111010,lat,51.267
0111110100,lon,-102.27
0111110101,lon,-101.9
011111011,lat,50.92
0111110110,lon,-100.0
0111110111,lon,-100.57
0111111,lat,49.68
01111110,lon,-96.88
011111100,lat,49.0
0111111000,lon,-97.75
0111111001,lon,-98.08
011111101,lat,48.767
0111111010,lon,-93.97
0111111011,lon,-95.37
01111111,lon,-96.85
011111110,lat,50.617
0111111100,lon,-97.25
0111111101,lon,-97.833
011111111,lat,50.63
0111111110,lon,-95.53
0111111111,lon,-94.25
1,lat,40.7742
10,lon,-78.7914
100,lat,35.7178
1000,lon,-83.9167
10000,lat,32.8694
100000,lon,-87.8125
1000000,lat,30.8489
10000000,lon,-89.8
100000000,lat,30.0306
1000000000,lon,-90.1303
1000000001,lon,-90.4731
100000001,lat,30.3772
1000000010,lon,-89.35
1000000011,lon,-88.5903
10000001,lon,-89.4156
100000010,lat,31.8583
1000000100,lon,-90.3939
1000000101,lon,-90.2092
100000011,lat,31.9667
1000000110,lon,-88.8889
1000000111,lon,-88.71
1000001,lat,31.5333
10000010,lon,-85.6833
100000100,lat,30.7794
1000001000,lon,-87.1869
1000001001,lon,-87.0333
100000101,lat,30.6
1000001010,lon,-84.68
1000001011,lon,-84.7
10000011,lon,-85.8889
